tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.85,0.6,0.9,0.15,1.0,11204,0.6220297579391517,0.9958943234559086
0.85,0.6,0.9,0.2,1.0,11204,0.6220297579391517,0.9958943234559086
0.85,0.6,0.8,0.1,1.0,12356,0.6859871196979791,0.9949012625445128
0.85,0.6,0.8,0.15,1.0,12356,0.6859871196979791,0.9949012625445128
0.85,0.6,0.8,0.2,1.0,12356,0.6859871196979791,0.9949012625445128
0.85,0.6,0.7,0.1,1.0,12412,0.689096158116811,0.9948436996455043
0.85,0.6,0.7,0.15,1.0,12412,0.689096158116811,0.9948436996455043
0.85,0.6,0.7,0.2,1.0,12412,0.689096158116811,0.9948436996455043
0.85,0.4,0.9,0.1,0.8,11106,0.6165889407061959,0.9928867278948317
0.85,0.4,0.9,0.15,0.8,11106,0.6165889407061959,0.9928867278948317
0.85,0.4,0.9,0.2,0.8,11106,0.6165889407061959,0.9928867278948317
0.9,0.4,0.9,0.1,0.8,11106,0.6165889407061959,0.9928867278948317
0.9,0.4,0.9,0.15,0.8,11106,0.6165889407061959,0.9928867278948317
0.9,0.4,0.9,0.2,0.8,11106,0.6165889407061959,0.9928867278948317
0.85,0.4,0.8,0.1,0.8,11775,0.6537308461025982,0.992696390658174
0.85,0.4,0.8,0.15,0.8,11775,0.6537308461025982,0.992696390658174
0.85,0.4,0.8,0.2,0.8,11775,0.6537308461025982,0.992696390658174
0.9,0.4,0.8,0.1,0.8,11775,0.6537308461025982,0.992696390658174
0.9,0.4,0.8,0.15,0.8,11775,0.6537308461025982,0.992696390658174
0.9,0.4,0.8,0.2,0.8,11775,0.6537308461025982,0.992696390658174
0.85,0.4,0.7,0.1,0.8,11787,0.6543970686209194,0.9926189870195978
0.85,0.4,0.7,0.15,0.8,11787,0.6543970686209194,0.9926189870195978
0.85,0.4,0.7,0.2,0.8,11787,0.6543970686209194,0.9926189870195978
0.9,0.4,0.7,0.1,0.8,11787,0.6543970686209194,0.9926189870195978
0.9,0.4,0.7,0.15,0.8,11787,0.6543970686209194,0.9926189870195978
0.9,0.4,0.7,0.2,0.8,11787,0.6543970686209194,0.9926189870195978
0.85,0.4,0.9,0.1,0.6,11213,0.6225294248278925,0.99206278426826
0.85,0.4,0.9,0.15,0.6,11213,0.6225294248278925,0.99206278426826
0.85,0.4,0.9,0.2,0.6,11213,0.6225294248278925,0.99206278426826
0.9,0.4,0.9,0.1,0.6,11213,0.6225294248278925,0.99206278426826
0.9,0.4,0.9,0.15,0.6,11213,0.6225294248278925,0.99206278426826
0.9,0.4,0.9,0.2,0.6,11213,0.6225294248278925,0.99206278426826
0.85,0.4,0.8,0.1,0.6,11898,0.6605596269153897,0.9918473693057657
0.85,0.4,0.8,0.15,0.6,11898,0.6605596269153897,0.9918473693057657
0.85,0.4,0.8,0.2,0.6,11898,0.6605596269153897,0.9918473693057657
0.9,0.4,0.8,0.1,0.6,11898,0.6605596269153897,0.9918473693057657
0.9,0.4,0.8,0.15,0.6,11898,0.6605596269153897,0.9918473693057657
0.9,0.4,0.8,0.2,0.6,11898,0.6605596269153897,0.9918473693057657
0.85,0.4,0.7,0.1,0.6,11910,0.6612258494337109,0.9917716204869857
0.85,0.4,0.7,0.15,0.6,11910,0.6612258494337109,0.9917716204869857
0.85,0.4,0.7,0.2,0.6,11910,0.6612258494337109,0.9917716204869857
0.9,0.4,0.7,0.1,0.6,11910,0.6612258494337109,0.9917716204869857
0.9,0.4,0.7,0.15,0.6,11910,0.6612258494337109,0.9917716204869857
0.9,0.4,0.7,0.2,0.6,11910,0.6612258494337109,0.9917716204869857
0.9,0.6,0.9,0.1,0.8,11537,0.6405174328225627,0.9915922683539915
0.9,0.6,0.9,0.15,0.8,11537,0.6405174328225627,0.9915922683539915
0.9,0.6,0.9,0.2,0.8,11537,0.6405174328225627,0.9915922683539915
0.9,0.6,0.8,0.1,0.8,12519,0.6950366422385077,0.9904944484383736
0.9,0.6,0.8,0.15,0.8,12519,0.6950366422385077,0.9904944484383736
0.9,0.6,0.8,0.2,0.8,12519,0.6950366422385077,0.9904944484383736
0.9,0.6,0.7,0.1,0.8,12543,0.6963690872751499,0.9904329107868931
0.9,0.6,0.7,0.15,0.8,12543,0.6963690872751499,0.9904329107868931
0.9,0.6,0.7,0.2,0.8,12543,0.6963690872751499,0.9904329107868931
0.9,0.6,0.9,0.1,0.6,11682,0.6485676215856095,0.990155795240541
0.9,0.6,0.9,0.15,0.6,11682,0.6485676215856095,0.990155795240541
0.9,0.6,0.9,0.2,0.6,11682,0.6485676215856095,0.990155795240541
0.9,0.6,0.8,0.1,0.6,12704,0.7053075727292916,0.989058564231738
0.9,0.6,0.8,0.15,0.6,12704,0.7053075727292916,0.989058564231738
0.9,0.6,0.8,0.2,0.6,12704,0.7053075727292916,0.989058564231738
0.85,0.6,0.9,0.1,0.8,11832,0.6568954030646236,0.9890128465179175
0.85,0.6,0.9,0.15,0.8,11832,0.6568954030646236,0.9890128465179175
0.85,0.6,0.9,0.2,0.8,11832,0.6568954030646236,0.9890128465179175
0.9,0.6,0.7,0.1,0.6,12728,0.7066400177659338,0.9890006285355123
